locus_tag	ftype	length_bp	gene	EC_number	COG	product
GKBEMDEF_00094	CDS	1161	mdoC	2.1.-.-		Glucans biosynthesis protein C
GKBEMDEF_00095	CDS	1554	mdoG		COG3131	Glucans biosynthesis protein G
GKBEMDEF_00096	CDS	2529	mdoH	2.4.1.-	COG2943	Glucans biosynthesis glucosyltransferase H
GKBEMDEF_00097	CDS	228				hypothetical protein
GKBEMDEF_00098	CDS	387				hypothetical protein
GKBEMDEF_00099	CDS	978	sbnD_1			Staphyloferrin B transporter
GKBEMDEF_00100	CDS	231	mdtG			Multidrug resistance protein MdtG
GKBEMDEF_00101	CDS	921	lpxL_1	2.3.1.241	COG1560	Lipid A biosynthesis lauroyltransferase
GKBEMDEF_00102	CDS	1065				hypothetical protein
GKBEMDEF_00103	CDS	114	yceO			putative protein YceO
GKBEMDEF_00104	CDS	1119	solA	1.5.3.-	COG0665	N-methyl-L-tryptophan oxidase
GKBEMDEF_00105	CDS	255	bssS			Biofilm regulator BssS
GKBEMDEF_00106	CDS	252	dinI_1			DNA damage-inducible protein I
GKBEMDEF_00107	CDS	1047	pyrC	3.5.2.3	COG0418	Dihydroorotase
GKBEMDEF_00108	CDS	561	yceB			putative lipoprotein YceB
GKBEMDEF_00109	CDS	1209	mdtH_1			Multidrug resistance protein MdtH
GKBEMDEF_00110	CDS	624	rimJ	2.3.1.267	COG1670	[Ribosomal protein S5]-alanine N-acetyltransferase
GKBEMDEF_00111	CDS	765				hypothetical protein
GKBEMDEF_00112	CDS	858	yceM	1.-.-.-	COG0673	Putative oxidoreductase YceM
GKBEMDEF_00113	CDS	1536	murJ		COG0728	putative lipid II flippase MurJ
GKBEMDEF_00114	CDS	1215	sotB_1			sugar efflux transporter
GKBEMDEF_00115	CDS	936	dmlR_2			HTH-type transcriptional regulator DmlR
GKBEMDEF_00116	CDS	369				hypothetical protein
GKBEMDEF_00117	CDS	504			COG1662	IS1 family transposase IS1R
GKBEMDEF_00118	CDS	2316				hypothetical protein
GKBEMDEF_00119	CDS	573				hypothetical protein
GKBEMDEF_00120	CDS	1608	prmC_1	2.1.1.297		Release factor glutamine methyltransferase
GKBEMDEF_00121	CDS	1203				hypothetical protein
GKBEMDEF_00122	CDS	2916	hsdR	3.1.21.3		Type-1 restriction enzyme R protein
GKBEMDEF_00123	CDS	1848				hypothetical protein
GKBEMDEF_00124	CDS	756				hypothetical protein
GKBEMDEF_00125	CDS	648				hypothetical protein
GKBEMDEF_00126	CDS	621				hypothetical protein
GKBEMDEF_00127	CDS	1407				hypothetical protein
GKBEMDEF_00128	CDS	237				hypothetical protein
GKBEMDEF_00129	CDS	1002				hypothetical protein
GKBEMDEF_00130	CDS	159				hypothetical protein
GKBEMDEF_00131	CDS	615	vbhT	2.7.7.-		Protein adenylyltransferase VbhT
GKBEMDEF_00132	CDS	1317				hypothetical protein
GKBEMDEF_00133	CDS	858	pdeG_1	3.1.4.52		putative cyclic di-GMP phosphodiesterase PdeG
GKBEMDEF_00134	CDS	927	fimH_1			Type 1 fimbrin D-mannose specific adhesin
GKBEMDEF_00135	CDS	474	fimG_1			Protein FimG
GKBEMDEF_00136	CDS	528	fimF_1			Protein FimF
GKBEMDEF_00137	CDS	1773	fimD_1		COG3188	Outer membrane usher protein FimD
GKBEMDEF_00138	CDS	1032				IS630 family transposase ISEc33
GKBEMDEF_00139	CDS	504			COG1662	IS1 family transposase IS1R
GKBEMDEF_00140	CDS	1308				hypothetical protein
GKBEMDEF_00141	CDS	927				hypothetical protein
GKBEMDEF_00142	CDS	345				hypothetical protein
GKBEMDEF_00143	CDS	684				hypothetical protein
GKBEMDEF_00144	CDS	864	era_1			GTPase Era
GKBEMDEF_00145	CDS	828				hypothetical protein
GKBEMDEF_00146	CDS	684				hypothetical protein
GKBEMDEF_00147	CDS	3156	flu_1		COG3468	Antigen 43
GKBEMDEF_00148	CDS	240				hypothetical protein
GKBEMDEF_00149	CDS	459	klcA_1			Antirestriction protein KlcA
GKBEMDEF_00150	CDS	477				hypothetical protein
GKBEMDEF_00151	CDS	228				hypothetical protein
GKBEMDEF_00152	CDS	318	yfjZ			Antitoxin YfjZ
GKBEMDEF_00153	CDS	342	ykfI			Toxin YkfI
GKBEMDEF_00154	CDS	834				hypothetical protein
GKBEMDEF_00155	tRNA	76				tRNA-Met(cat)
GKBEMDEF_00156	CDS	507	mug	3.2.2.28	COG3663	G/U mismatch-specific DNA glycosylase
GKBEMDEF_00157	CDS	1842	rpoD		COG0568	RNA polymerase sigma factor RpoD
GKBEMDEF_00158	CDS	1746	dnaG	2.7.7.-	COG0358	DNA primase
GKBEMDEF_00159	CDS	216	rpsU		COG0828	30S ribosomal protein S21
GKBEMDEF_00160	CDS	1014	tsaD	2.3.1.234	COG0533	tRNA N6-adenosine threonylcarbamoyltransferase
GKBEMDEF_00161	CDS	1608				hypothetical protein
GKBEMDEF_00162	CDS	618	ureG			Urease accessory protein UreG
GKBEMDEF_00163	CDS	711	ureF			Urease accessory protein UreF
GKBEMDEF_00164	CDS	477	ureE			Urease accessory protein UreE
GKBEMDEF_00165	CDS	1704	ureC	3.5.1.5		Urease subunit alpha
GKBEMDEF_00166	CDS	321	ureB	3.5.1.5		Urease subunit beta
GKBEMDEF_00167	CDS	303	ureA	3.5.1.5		Urease subunit gamma
GKBEMDEF_00168	CDS	825	ureD			Urease accessory protein UreD
GKBEMDEF_00169	CDS	618	plsY	2.3.1.15	COG0344	putative glycerol-3-phosphate acyltransferase
GKBEMDEF_00170	CDS	384	folB	4.1.2.25	COG1539	Dihydroneopterin aldolase
GKBEMDEF_00171	CDS	822	uppP	3.6.1.27	COG1968	Undecaprenyl-diphosphatase
GKBEMDEF_00172	CDS	1242	cca		COG0617	Multifunctional CCA protein
GKBEMDEF_00173	CDS	621				hypothetical protein
GKBEMDEF_00174	CDS	1299	ygiF	3.6.1.25	COG3025	Inorganic triphosphatase
GKBEMDEF_00175	CDS	2838	glnE		COG1391	Bifunctional glutamine synthetase adenylyltransferase/adenylyl-removing enzyme
GKBEMDEF_00176	CDS	1434	hldE		COG2870	Bifunctional protein HldE
GKBEMDEF_00177	CDS	198	glgS_1			Surface composition regulator
GKBEMDEF_00178	CDS	273	ubiK		COG2960	Ubiquinone biosynthesis accessory factor UbiK
GKBEMDEF_00179	CDS	654	ribB	4.1.99.12	COG0108	3,4-dihydroxy-2-butanone 4-phosphate synthase
GKBEMDEF_00180	CDS	771	zupT		COG0428	Zinc transporter ZupT
GKBEMDEF_00181	CDS	792	ygiD	1.13.11.29	COG3384	4,5-DOPA dioxygenase extradiol
GKBEMDEF_00182	CDS	1161	ygiC	6.3.1.-	COG0754	Putative acid--amine ligase YgiC
GKBEMDEF_00183	CDS	672				hypothetical protein
GKBEMDEF_00184	CDS	1470	tolC			Outer membrane protein TolC
GKBEMDEF_00185	CDS	633	nudF	3.6.1.13		ADP-ribose pyrophosphatase
GKBEMDEF_00186	CDS	423				hypothetical protein
GKBEMDEF_00187	CDS	828	cpdA_1	3.1.4.53	COG1409	3',5'-cyclic adenosine monophosphate phosphodiesterase CpdA
GKBEMDEF_00188	CDS	576				hypothetical protein
GKBEMDEF_00189	CDS	1896	parE	5.6.2.2	COG0187	DNA topoisomerase 4 subunit B
GKBEMDEF_00190	CDS	315	ygiN	1.-.-.-	COG1359	putative quinol monooxygenase YgiN
GKBEMDEF_00191	CDS	582	mdaB	1.6.5.10	COG2249	NADPH:quinone oxidoreductase MdaB
GKBEMDEF_00192	CDS	1350	qseC	2.7.13.3		Sensor protein QseC
GKBEMDEF_00193	CDS	660	qseB			Transcriptional regulatory protein QseB
GKBEMDEF_00194	CDS	396	ygiW_1		COG3111	Protein YgiW
GKBEMDEF_00195	CDS	870	rhaS_1			HTH-type transcriptional activator RhaS
GKBEMDEF_00196	CDS	2259	parC	5.6.2.2	COG0188	DNA topoisomerase 4 subunit A
GKBEMDEF_00197	CDS	738	plsC	2.3.1.51	COG0204	1-acyl-sn-glycerol-3-phosphate acyltransferase
GKBEMDEF_00198	CDS	1413	ftsP		COG2132	Cell division protein FtsP
GKBEMDEF_00199	CDS	2184				hypothetical protein
GKBEMDEF_00200	CDS	528				hypothetical protein
GKBEMDEF_00201	CDS	828	dkgA	1.1.1.274	COG0656	2,5-diketo-D-gluconic acid reductase A
GKBEMDEF_00202	CDS	1164	yqhD	1.1.1.-	COG1979	Alcohol dehydrogenase YqhD
GKBEMDEF_00203	CDS	900	rhaS_2			HTH-type transcriptional activator RhaS
GKBEMDEF_00204	CDS	660	yghB		COG0586	Inner membrane protein YghB
GKBEMDEF_00205	CDS	1188	metC_1	4.4.1.13	COG0626	Cystathionine beta-lyase MetC
GKBEMDEF_00206	CDS	732	exbB		COG0811	Biopolymer transport protein ExbB
GKBEMDEF_00207	CDS	426	exbD		COG0848	Biopolymer transport protein ExbD
GKBEMDEF_00208	CDS	1419	yicJ_1		COG2211	Inner membrane symporter YicJ
GKBEMDEF_00209	CDS	1524		3.2.1.-		Beta-xylosidase
GKBEMDEF_00210	CDS	495				hypothetical protein
GKBEMDEF_00211	CDS	888				hypothetical protein
GKBEMDEF_00212	CDS	288				hypothetical protein
GKBEMDEF_00213	CDS	867	yghU	1.8.4.-	COG0625	Disulfide-bond oxidoreductase YghU
GKBEMDEF_00214	CDS	561				hypothetical protein
GKBEMDEF_00215	CDS	1866	gss		COG0754	Bifunctional glutathionylspermidine synthetase/amidase
GKBEMDEF_00216	CDS	1182	lysN_1	2.6.1.39	COG1167	2-aminoadipate transaminase
GKBEMDEF_00217	CDS	90				hypothetical protein
GKBEMDEF_00218	CDS	189				hypothetical protein
GKBEMDEF_00219	CDS	345				hypothetical protein
GKBEMDEF_00220	CDS	603				hypothetical protein
GKBEMDEF_00221	CDS	912	dmlR_3			HTH-type transcriptional regulator DmlR
GKBEMDEF_00222	CDS	459	metC_2	4.4.1.13	COG0626	Cystathionine beta-lyase
GKBEMDEF_00223	CDS	792	metC_3	4.4.1.13	COG0626	Cystathionine beta-lyase
GKBEMDEF_00224	CDS	1377	cbs	4.2.1.22	COG0031	Putative cystathionine beta-synthase
GKBEMDEF_00225	CDS	516				hypothetical protein
GKBEMDEF_00226	CDS	681	elfD_1		COG3121	putative fimbrial chaperone protein ElfD
GKBEMDEF_00227	CDS	549				hypothetical protein
GKBEMDEF_00228	CDS	579				hypothetical protein
GKBEMDEF_00229	CDS	774	elfD_2		COG3121	putative fimbrial chaperone protein ElfD
GKBEMDEF_00230	CDS	765	yraI_1			putative fimbrial chaperone YraI
GKBEMDEF_00231	CDS	2595	yraJ		COG3188	Outer membrane usher protein YraJ
GKBEMDEF_00232	CDS	2082				hypothetical protein
GKBEMDEF_00233	CDS	864	intA_1		COG0582	Prophage integrase IntA
GKBEMDEF_00234	tRNA	76				tRNA-Phe(gaa)
GKBEMDEF_00235	CDS	714	ydfK_1		COG1811	putative membrane protein YdfK
GKBEMDEF_00236	CDS	2139	speC	4.1.1.17	COG1982	Constitutive ornithine decarboxylase
GKBEMDEF_00237	CDS	1254	nupG			Nucleoside permease NupG
GKBEMDEF_00238	CDS	1086	mltC	4.2.2.-	COG0741	Membrane-bound lytic murein transglycosylase C
GKBEMDEF_00239	CDS	276	yggX		COG2924	putative Fe(2+)-trafficking protein
GKBEMDEF_00240	CDS	1059	mutY	3.2.2.31	COG1194	Adenine DNA glycosylase
GKBEMDEF_00241	CDS	720	trmB	2.1.1.33	COG0220	tRNA (guanine-N(7)-)-methyltransferase
GKBEMDEF_00242	CDS	327			COG3171	putative protein
GKBEMDEF_00243	CDS	717				hypothetical protein
GKBEMDEF_00244	CDS	1248	xylH_1		COG4214	Xylose transport system permease protein XylH
GKBEMDEF_00245	CDS	810	frcA_1	7.5.2.-	COG1129	Fructose import ATP-binding protein FrcA
GKBEMDEF_00246	CDS	1047	xylF_1		COG4213	D-xylose-binding periplasmic protein
GKBEMDEF_00247	CDS	1140	hemW		COG0635	Heme chaperone HemW
GKBEMDEF_00248	CDS	594	rdgB	3.6.1.66	COG0127	dITP/XTP pyrophosphatase
GKBEMDEF_00249	CDS	291				hypothetical protein
GKBEMDEF_00250	CDS	567				hypothetical protein
GKBEMDEF_00251	CDS	702	yggS		COG0325	Pyridoxal phosphate homeostasis protein
GKBEMDEF_00252	CDS	981	yggR		COG2805	putative protein YggR
GKBEMDEF_00253	CDS	654	csgD		COG2771	CsgBAC operon transcriptional regulatory protein
GKBEMDEF_00254	CDS	417	yqgF	3.1.-.-	COG0816	Putative pre-16S rRNA nuclease
GKBEMDEF_00255	CDS	564				hypothetical protein
GKBEMDEF_00256	CDS	951	gshB	6.3.2.3	COG0189	Glutathione synthetase
GKBEMDEF_00257	CDS	732	rsmE	2.1.1.193	COG1385	Ribosomal RNA small subunit methyltransferase E
GKBEMDEF_00258	CDS	708	endA	3.1.21.1	COG2356	Endonuclease-1
GKBEMDEF_00259	CDS	459	sprT			Protein SprT
GKBEMDEF_00260	CDS	1395	galP			Galactose-proton symporter
GKBEMDEF_00261	CDS	1155	metK	2.5.1.6	COG0192	S-adenosylmethionine synthase
GKBEMDEF_00262	CDS	1977	speA	4.1.1.19	COG1166	Biosynthetic arginine decarboxylase
GKBEMDEF_00263	CDS	921	speB	3.5.3.11	COG0010	Agmatinase
GKBEMDEF_00264	CDS	759	loiP	3.4.24.-	COG0501	Metalloprotease LoiP
GKBEMDEF_00265	CDS	1086				hypothetical protein
GKBEMDEF_00266	CDS	504			COG1662	IS1 family transposase IS1R
GKBEMDEF_00267	CDS	258				hypothetical protein
GKBEMDEF_00268	CDS	264				hypothetical protein
GKBEMDEF_00269	CDS	264				hypothetical protein
GKBEMDEF_00270	CDS	327				hypothetical protein
GKBEMDEF_00271	CDS	267				hypothetical protein
GKBEMDEF_00272	CDS	1158				hypothetical protein
GKBEMDEF_00273	CDS	3411				hypothetical protein
GKBEMDEF_00274	CDS	1764				hypothetical protein
GKBEMDEF_00275	CDS	1047				hypothetical protein
GKBEMDEF_00276	CDS	537				hypothetical protein
GKBEMDEF_00277	CDS	444				hypothetical protein
GKBEMDEF_00278	CDS	1416				hypothetical protein
GKBEMDEF_00279	CDS	915	thpA_1		COG1879	D-threitol-binding protein
GKBEMDEF_00280	CDS	330				hypothetical protein
GKBEMDEF_00281	CDS	1092	ychF		COG0012	Ribosome-binding ATPase YchF
GKBEMDEF_00282	CDS	585	pth	3.1.1.29	COG0193	Peptidyl-tRNA hydrolase
GKBEMDEF_00283	CDS	276				hypothetical protein
GKBEMDEF_00284	CDS	1047				hypothetical protein
GKBEMDEF_00285	CDS	1653	dauA_1		COG0659	C4-dicarboxylic acid transporter DauA
GKBEMDEF_00286	CDS	948	prs	2.7.6.1	COG0462	Ribose-phosphate pyrophosphokinase
GKBEMDEF_00287	CDS	852	ispE	2.7.1.148	COG1947	4-diphosphocytidyl-2-C-methyl-D-erythritol kinase
GKBEMDEF_00288	CDS	612	lolB		COG3017	Outer-membrane lipoprotein LolB
GKBEMDEF_00289	CDS	1257	hemA	1.2.1.70	COG0373	Glutamyl-tRNA reductase
GKBEMDEF_00290	CDS	1083	prfA		COG0216	Peptide chain release factor RF1
GKBEMDEF_00291	CDS	258				IS1380 family transposase ISEcp1
GKBEMDEF_00292	CDS	123				hypothetical protein
GKBEMDEF_00293	CDS	876	bla_1	3.5.2.6		Beta-lactamase CTX-M-1
GKBEMDEF_00294	CDS	321				hypothetical protein
GKBEMDEF_00295	CDS	2016				Tn3 family transposase Tn2
GKBEMDEF_00296	CDS	1032				IS630 family transposase ISEc33
GKBEMDEF_00297	CDS	942				hypothetical protein
GKBEMDEF_00298	CDS	390				hypothetical protein
GKBEMDEF_00299	CDS	465				hypothetical protein
GKBEMDEF_00300	CDS	1032				IS630 family transposase ISEc33
GKBEMDEF_00301	CDS	801	fimD_2		COG3188	Outer membrane usher protein FimD
GKBEMDEF_00302	CDS	705	fimC_1			Chaperone protein FimC
GKBEMDEF_00303	CDS	513	lpfA_1			putative major fimbrial subunit LpfA
GKBEMDEF_00304	CDS	549	fim_1			Fimbrial subunit type 1
GKBEMDEF_00305	CDS	648				hypothetical protein
GKBEMDEF_00306	CDS	846				hypothetical protein
GKBEMDEF_00307	CDS	501				hypothetical protein
GKBEMDEF_00308	CDS	573				hypothetical protein
GKBEMDEF_00309	CDS	111				hypothetical protein
GKBEMDEF_00310	CDS	504			COG1662	IS1 family transposase IS1R
GKBEMDEF_00311	CDS	1032				IS630 family transposase ISEc33
GKBEMDEF_00312	CDS	1236	csbX_1		COG0477	Alpha-ketoglutarate permease
GKBEMDEF_00313	CDS	954	apsI	5.3.1.-	COG4952	D-apiose isomerase
GKBEMDEF_00314	CDS	882	murR_1			HTH-type transcriptional regulator MurR
GKBEMDEF_00315	CDS	927	rbsK_1	2.7.1.15	COG0524	Ribokinase
GKBEMDEF_00316	CDS	924	dmlR_4			HTH-type transcriptional regulator DmlR
GKBEMDEF_00317	CDS	1533	stp			Multidrug resistance protein Stp
GKBEMDEF_00318	CDS	285				hypothetical protein
GKBEMDEF_00319	CDS	489				hypothetical protein
GKBEMDEF_00320	CDS	528				hypothetical protein
GKBEMDEF_00321	CDS	972	oppF_1		COG4608	Oligopeptide transport ATP-binding protein OppF
GKBEMDEF_00322	CDS	981	ddpD		COG0444	putative D,D-dipeptide transport ATP-binding protein DdpD
GKBEMDEF_00323	CDS	948	gsiD_1		COG1173	Glutathione transport system permease protein GsiD
GKBEMDEF_00324	CDS	960	gsiC_1		COG0601	Glutathione transport system permease protein GsiC
GKBEMDEF_00325	CDS	1704	appA			Oligopeptide-binding protein AppA
GKBEMDEF_00326	CDS	684	cat3	2.3.1.28		Chloramphenicol acetyltransferase 3
GKBEMDEF_00327	CDS	384				hypothetical protein
GKBEMDEF_00328	CDS	771	glpR_1		COG1349	Glycerol-3-phosphate regulon repressor
GKBEMDEF_00329	CDS	630	rhtC_1		COG1280	Threonine efflux protein
GKBEMDEF_00330	CDS	636	cynT	4.2.1.1	COG0288	Carbonic anhydrase 1
GKBEMDEF_00331	CDS	210				hypothetical protein
GKBEMDEF_00332	CDS	699				hypothetical protein
GKBEMDEF_00333	CDS	435				hypothetical protein
GKBEMDEF_00334	CDS	150				hypothetical protein
GKBEMDEF_00335	CDS	837				hypothetical protein
GKBEMDEF_00336	CDS	516				hypothetical protein
GKBEMDEF_00337	CDS	885	gcvA_1			Glycine cleavage system transcriptional activator
GKBEMDEF_00338	CDS	927			COG3039	IS5 family transposase IS4811
GKBEMDEF_00339	CDS	753	ydfG_1	1.1.1.381	COG4221	NADP-dependent 3-hydroxy acid dehydrogenase YdfG
GKBEMDEF_00340	tRNA	77				tRNA-Val(gac)
GKBEMDEF_00341	tRNA	77				tRNA-Val(gac)
GKBEMDEF_00342	tRNA	77				tRNA-Val(gac)
GKBEMDEF_00343	CDS	579		3.2.2.-	COG1611	Putative cytokinin riboside 5'-monophosphate phosphoribohydrolase
GKBEMDEF_00344	CDS	237	asr			Acid shock protein
GKBEMDEF_00345	CDS	1374	mdtK		COG0534	Multidrug resistance protein MdtK
GKBEMDEF_00346	CDS	636	ribC	2.5.1.9	COG0307	Riboflavin synthase
GKBEMDEF_00347	CDS	1149	cfa	2.1.1.79	COG2230	Cyclopropane-fatty-acyl-phospholipid synthase
GKBEMDEF_00348	CDS	1236	ydhC			Inner membrane transport protein YdhC
GKBEMDEF_00349	CDS	1005	yahB			putative HTH-type transcriptional regulator YahB
GKBEMDEF_00350	CDS	1026	purR_1		COG1609	HTH-type transcriptional repressor PurR
GKBEMDEF_00351	CDS	93				hypothetical protein
GKBEMDEF_00352	CDS	1167	ydhP_1		COG2814	Inner membrane transport protein YdhP
GKBEMDEF_00353	CDS	582	sodB	1.15.1.1	COG0605	Superoxide dismutase [Fe]
GKBEMDEF_00354	CDS	486	rhaS_3			HTH-type transcriptional activator RhaS
GKBEMDEF_00355	CDS	873	mepH	3.4.-.-	COG0791	Murein DD-endopeptidase MepH
GKBEMDEF_00356	CDS	348	grxD		COG0278	Glutaredoxin 4
GKBEMDEF_00357	CDS	648	rnt	3.1.13.-	COG0847	Ribonuclease T
GKBEMDEF_00358	CDS	408	gloA	4.4.1.5	COG0346	Lactoylglutathione lyase
GKBEMDEF_00359	CDS	1098	nemA	1.3.1.-	COG1902	N-ethylmaleimide reductase
GKBEMDEF_00360	CDS	600	nemR			HTH-type transcriptional repressor NemR
